subject,object,property
http://dbpedia.org/resource/Saint_Thomas_Health,http://dbpedia.org/resource/Middle_Tennessee,http://dbpedia.org/ontology/regionServed
http://dbpedia.org/resource/Saint_Thomas_Health,http://dbpedia.org/resource/South_Central_Kentucky,http://dbpedia.org/ontology/regionServed
http://dbpedia.org/resource/Saint_Thomas_Health,http://dbpedia.org/resource/United_States,http://dbpedia.org/ontology/locationCountry
http://dbpedia.org/resource/Pangea3,http://www.pangea3.com,http://xmlns.com/foaf/0.1/homepage
http://dbpedia.org/resource/Pangea3,http://dbpedia.org/resource/United_States,http://dbpedia.org/ontology/foundationPlace
http://dbpedia.org/resource/Pangea3,http://dbpedia.org/resource/India,http://dbpedia.org/ontology/foundationPlace
http://dbpedia.org/resource/Pangea3,http://dbpedia.org/resource/New_York_City,http://dbpedia.org/ontology/foundationPlace
http://dbpedia.org/resource/Pangea3,http://dbpedia.org/resource/Mumbai,http://dbpedia.org/ontology/foundationPlace
http://dbpedia.org/resource/Pangea3,http://dbpedia.org/resource/New_York_City,http://dbpedia.org/ontology/locationCity
http://dbpedia.org/resource/Pangea3,http://dbpedia.org/resource/Mumbai,http://dbpedia.org/ontology/locationCity
http://dbpedia.org/resource/Pangea3,http://dbpedia.org/resource/Thomson_Reuters,http://dbpedia.org/ontology/parentCompany
http://dbpedia.org/resource/IndiePub,http://dbpedia.org/resource/Public_company,http://dbpedia.org/ontology/type
http://dbpedia.org/resource/IndiePub,http://dbpedia.org/resource/Computer_and_video_game_industry,http://dbpedia.org/ontology/industry
http://dbpedia.org/resource/IndiePub,http://dbpedia.org/resource/Digital_distribution,http://dbpedia.org/ontology/product
http://dbpedia.org/resource/IndiePub,http://dbpedia.org/resource/Video_game_console,http://dbpedia.org/ontology/product
http://dbpedia.org/resource/IndiePub,"http://dbpedia.org/resource/Cincinnati,_Ohio",http://dbpedia.org/ontology/location
http://dbpedia.org/resource/Truviso,http://www.truviso.com,http://xmlns.com/foaf/0.1/homepage
http://dbpedia.org/resource/Truviso,"http://dbpedia.org/resource/Foster_City,_California",http://dbpedia.org/ontology/locationCity
http://dbpedia.org/resource/Truviso,http://dbpedia.org/resource/Michael_J._Franklin,http://dbpedia.org/ontology/keyPerson
http://dbpedia.org/resource/Truviso,http://dbpedia.org/resource/Software_industry,http://dbpedia.org/ontology/industry
http://dbpedia.org/resource/Truviso,http://dbpedia.org/resource/United_States,http://dbpedia.org/ontology/locationCountry
http://dbpedia.org/resource/Portuguese_East_India_Company,http://dbpedia.org/resource/Casa_da_Índia,http://dbpedia.org/ontology/successor
http://dbpedia.org/resource/Portuguese_East_India_Company,http://dbpedia.org/resource/Philip_III_of_Portugal,http://dbpedia.org/ontology/keyPerson
http://dbpedia.org/resource/Portuguese_East_India_Company,http://dbpedia.org/resource/International_trade,http://dbpedia.org/ontology/industry
http://dbpedia.org/resource/Portuguese_East_India_Company,http://dbpedia.org/resource/Portuguese_Empire,http://dbpedia.org/ontology/regionServed
http://dbpedia.org/resource/Portuguese_East_India_Company,http://dbpedia.org/resource/Ribeira_Palace,http://dbpedia.org/ontology/locationCountry
http://dbpedia.org/resource/Chancellor_House_(company),http://dbpedia.org/resource/Popo_Molefe,http://dbpedia.org/ontology/keyPerson
http://dbpedia.org/resource/Chancellor_House_(company),http://dbpedia.org/resource/Mamatho_Netsianda,http://dbpedia.org/ontology/keyPerson
http://dbpedia.org/resource/Chancellor_House_(company),http://dbpedia.org/resource/South_Africa,http://dbpedia.org/ontology/location
http://dbpedia.org/resource/Chancellor_House_(company),http://dbpedia.org/resource/Johannesburg,http://dbpedia.org/ontology/location
http://dbpedia.org/resource/Chancellor_House_(company),http://dbpedia.org/resource/South_Africa,http://dbpedia.org/ontology/regionServed
http://dbpedia.org/resource/NWS_Holdings,http://www.nws.com.hk/,http://xmlns.com/foaf/0.1/homepage
http://dbpedia.org/resource/NWS_Holdings,http://dbpedia.org/resource/Listed_company,http://dbpedia.org/ontology/type
http://dbpedia.org/resource/NWS_Holdings,http://dbpedia.org/resource/Cheng_Yu-tung,http://dbpedia.org/ontology/foundedBy
http://dbpedia.org/resource/NWS_Holdings,http://dbpedia.org/resource/Henry_Cheng,http://dbpedia.org/ontology/foundedBy
http://dbpedia.org/resource/NWS_Holdings,http://dbpedia.org/resource/Hong_Kong,http://dbpedia.org/ontology/locationCity
http://dbpedia.org/resource/NWS_Holdings,http://dbpedia.org/resource/Chairman,http://dbpedia.org/ontology/keyPerson
http://dbpedia.org/resource/NWS_Holdings,http://dbpedia.org/resource/Conglomerate_(company),http://dbpedia.org/ontology/industry
http://dbpedia.org/resource/NWS_Holdings,http://dbpedia.org/resource/Chow_Tai_Fook_Enterprises,http://dbpedia.org/ontology/parentCompany
http://dbpedia.org/resource/NWS_Holdings,http://dbpedia.org/resource/Hong_Kong,http://dbpedia.org/ontology/regionServed
http://dbpedia.org/resource/NWS_Holdings,http://dbpedia.org/resource/People's_Republic_of_China,http://dbpedia.org/ontology/locationCountry
http://dbpedia.org/resource/Slalom_Consulting,http://www.slalom.com/,http://xmlns.com/foaf/0.1/homepage
http://dbpedia.org/resource/Slalom_Consulting,http://dbpedia.org/resource/Limited_liability_company,http://dbpedia.org/ontology/type
http://dbpedia.org/resource/Slalom_Consulting,http://dbpedia.org/resource/Chief_executive_officer,http://dbpedia.org/ontology/keyPerson
http://dbpedia.org/resource/Slalom_Consulting,http://dbpedia.org/resource/Professional_services,http://dbpedia.org/ontology/industry
http://dbpedia.org/resource/Slalom_Consulting,http://dbpedia.org/resource/Toronto,http://dbpedia.org/ontology/location
http://dbpedia.org/resource/Slalom_Consulting,http://dbpedia.org/resource/United_States,http://dbpedia.org/ontology/location
http://dbpedia.org/resource/Slalom_Consulting,http://dbpedia.org/resource/Houston,http://dbpedia.org/ontology/location
http://dbpedia.org/resource/Slalom_Consulting,http://dbpedia.org/resource/Denver,http://dbpedia.org/ontology/location
http://dbpedia.org/resource/Slalom_Consulting,http://dbpedia.org/resource/New_York_City,http://dbpedia.org/ontology/location
http://dbpedia.org/resource/Slalom_Consulting,http://dbpedia.org/resource/London,http://dbpedia.org/ontology/location
http://dbpedia.org/resource/Slalom_Consulting,http://dbpedia.org/resource/Atlanta,http://dbpedia.org/ontology/location
http://dbpedia.org/resource/Slalom_Consulting,http://dbpedia.org/resource/Boston,http://dbpedia.org/ontology/location
http://dbpedia.org/resource/Slalom_Consulting,"http://dbpedia.org/resource/Portland,_Oregon",http://dbpedia.org/ontology/location
http://dbpedia.org/resource/Slalom_Consulting,http://dbpedia.org/resource/Seattle,http://dbpedia.org/ontology/location
http://dbpedia.org/resource/Slalom_Consulting,http://dbpedia.org/resource/Chicago,http://dbpedia.org/ontology/location
http://dbpedia.org/resource/Slalom_Consulting,http://dbpedia.org/resource/Silicon_Valley,http://dbpedia.org/ontology/location
http://dbpedia.org/resource/Slalom_Consulting,http://dbpedia.org/resource/San_Francisco,http://dbpedia.org/ontology/location
http://dbpedia.org/resource/Slalom_Consulting,http://dbpedia.org/resource/Minneapolis,http://dbpedia.org/ontology/location
http://dbpedia.org/resource/Slalom_Consulting,http://dbpedia.org/resource/Southern_California,http://dbpedia.org/ontology/location
